CaO+MgO,Al2O3,TiO2,Fe2O3*,MnO,MgO,CaO,Na2O,K2O,P2O5,S,Zn,Pb,Cu,Cr,Ni,Sc,V,Ba,Sr,Li,' Rb ',Y,Zr,Nb,Cs,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Th,U,'Type de roche'
'\'(51.25-inf)\'','\'(0.035-0.045]\'','\'(0.0005-0.0015]\'','\'(-inf-0.065]\'','\'(0.005-0.015]\'','\'(21.36-inf)\'','\'(30.15-inf)\'','\'(0.025-0.035]\'','\'(0.015-0.025]\'','\'(0.045-0.055]\'','\'(-inf-91]\'','\'(-inf-2.5]\'','\'(-inf-5.5]\'','\'(-inf-0.5]\'','\'(2.15-2.8]\'','\'(2-2.6]\'','\'(-inf-0.25]\'','\'(-inf-1.15]\'','\'(4.6-5.95]\'','\'(34.9-45.55]\'','\'(0.85-1.55]\'','\'(0.225-0.48]\'','\'(2.05-2.45]\'','\'(0.45-0.65]\'','\'(-inf-0.15]\'','\'(-inf-0.05]\'','\'(1.15-1.35]\'','\'(0.95-1.15]\'','\'(-inf-0.25]\'','\'(0.85-1.05]\'','\'(0.15-0.25]\'','\'(-inf-0.05]\'','\'(0.15-0.25]\'','\'(-inf-0.05]\'','\'(0.15-0.25]\'','\'(-inf-0.05]\'','\'(-inf-0.15]\'','\'(-inf-0.05]\'','\'(0.05-0.15]\'','\'(-inf-0.05]\'','\'(-inf-0.05]\'','\'(-inf-0.05]\'','\'(-inf-0.05]\'','\'(1.55-1.75]\'',C1
'\'(51.25-inf)\'','\'(0.045-0.065]\'','\'(0.0005-0.0015]\'','\'(0.065-0.085]\'','\'(0.015-0.025]\'','\'(21.36-inf)\'','\'(30.15-inf)\'','\'(0.015-0.025]\'','\'(0.015-0.025]\'','\'(0.005-0.015]\'','\'(-inf-91]\'','\'(5.5-8]\'','\'(-inf-5.5]\'','\'(0.5-1.5]\'','\'(4.4-6.05]\'','\'(2-2.6]\'','\'(0.25-0.35]\'','\'(12.15-32.85]\'','\'(10.9-16.75]\'','\'(59.3-68.2]\'','\'(0.85-1.55]\'','\'(0.48-0.915]\'','\'(2.95-3.45]\'','\'(1.05-1.55]\'','\'(0.15-0.25]\'','\'(-inf-0.05]\'','\'(1.15-1.35]\'','\'(1.15-1.45]\'','\'(-inf-0.25]\'','\'(0.85-1.05]\'','\'(0.15-0.25]\'','\'(0.05-0.15]\'','\'(0.25-0.35]\'','\'(-inf-0.05]\'','\'(0.25-0.35]\'','\'(0.05-0.15]\'','\'(0.25-0.35]\'','\'(-inf-0.05]\'','\'(0.15-0.25]\'','\'(-inf-0.05]\'','\'(-inf-0.05]\'','\'(-inf-0.05]\'','\'(0.05-0.15]\'','\'(2.05-2.55]\'',C1
'\'(51.25-inf)\'','\'(0.095-0.165]\'','\'(0.0055-0.0105]\'','\'(0.255-0.335]\'','\'(0.045-0.06]\'','\'(21.36-inf)\'','\'(30.15-inf)\'','\'(0.025-0.035]\'','\'(0.015-0.025]\'','\'(0.085-0.215]\'','\'(208-298.5]\'','\'(5.5-8]\'','\'(7.5-12.5]\'','\'(1.5-2.5]\'','\'(3.35-3.85]\'','\'(2-2.6]\'','\'(-inf-0.25]\'','\'(3.95-6]\'','\'(10.9-16.75]\'','\'(68.2-71.95]\'','\'(0.85-1.55]\'','\'(0.48-0.915]\'','\'(4.15-7.75]\'','\'(2.15-3.85]\'','\'(0.25-0.35]\'','\'(0.05-0.15]\'','\'(2.2-3.95]\'','\'(1.75-2.55]\'','\'(0.65-0.95]\'','\'(2.35-4.4]\'','\'(0.45-0.6]\'','\'(0.05-0.15]\'','\'(0.55-1.05]\'','\'(0.05-0.15]\'','\'(0.55-0.95]\'','\'(0.05-0.15]\'','\'(0.35-0.55]\'','\'(0.05-0.15]\'','\'(0.15-0.25]\'','\'(-inf-0.05]\'','\'(0.05-0.15]\'','\'(-inf-0.05]\'','\'(0.15-0.25]\'','\'(4.2-inf)\'',C1
'\'(51.25-inf)\'','\'(0.035-0.045]\'','\'(0.0005-0.0015]\'','\'(-inf-0.065]\'','\'(0.005-0.015]\'','\'(21.36-inf)\'','\'(30.15-inf)\'','\'(0.025-0.035]\'','\'(0.005-0.015]\'','\'(0.045-0.055]\'','\'(91-162]\'','\'(5.5-8]\'','\'(-inf-5.5]\'','\'(3.5-4.5]\'','\'(2.8-3.35]\'','\'(2-2.6]\'','\'(-inf-0.25]\'','\'(-inf-1.15]\'','\'(3.15-3.85]\'','\'(45.55-50.9]\'','\'(0.85-1.55]\'','\'(-inf-0.105]\'','\'(2.05-2.45]\'','\'(1.05-1.55]\'','\'(0.15-0.25]\'','\'(-inf-0.05]\'','\'(1.15-1.35]\'','\'(0.95-1.15]\'','\'(0.25-0.35]\'','\'(0.85-1.05]\'','\'(0.15-0.25]\'','\'(0.05-0.15]\'','\'(0.15-0.25]\'','\'(-inf-0.05]\'','\'(0.15-0.25]\'','\'(0.05-0.15]\'','\'(0.15-0.25]\'','\'(-inf-0.05]\'','\'(0.05-0.15]\'','\'(-inf-0.05]\'','\'(-inf-0.05]\'','\'(-inf-0.05]\'','\'(-inf-0.05]\'','\'(0.95-1.35]\'',C1
'\'(51.25-inf)\'','\'(0.065-0.095]\'','\'(0.0005-0.0015]\'','\'(0.145-0.195]\'','\'(0.015-0.025]\'','\'(9.07-17.21]\'','\'(30.15-inf)\'','\'(0.025-0.035]\'','\'(0.055-0.095]\'','\'(0.215-inf)\'','\'(435-790.5]\'','\'(4.5-5.5]\'','\'(-inf-5.5]\'','\'(1.5-2.5]\'','\'(4.4-6.05]\'','\'(3.65-5.55]\'','\'(-inf-0.25]\'','\'(6-12.15]\'','\'(10.9-16.75]\'','\'(89.75-inf)\'','\'(4.3-5.75]\'','\'(1.85-3.45]\'','\'(14.2-inf)\'','\'(1.55-2.15]\'','\'(0.15-0.25]\'','\'(0.05-0.15]\'','\'(9.75-inf)\'','\'(6.05-17.85]\'','\'(1.25-2.2]\'','\'(4.4-9.55]\'','\'(0.95-1.65]\'','\'(0.35-0.5]\'','\'(1.65-3.7]\'','\'(0.25-0.35]\'','\'(1.45-2.7]\'','\'(0.55-0.75]\'','\'(1.45-2.45]\'','\'(0.15-0.25]\'','\'(0.95-1.15]\'','\'(0.05-0.15]\'','\'(-inf-0.05]\'','\'(-inf-0.05]\'','\'(-inf-0.05]\'','\'(4.2-inf)\'',C1
'\'(51.25-inf)\'','\'(0.065-0.095]\'','\'(0.0015-0.0025]\'','\'(0.085-0.145]\'','\'(0.025-0.035]\'','\'(21.36-inf)\'','\'(30.15-inf)\'','\'(0.025-0.035]\'','\'(0.035-0.055]\'','\'(0.215-inf)\'','\'(298.5-435]\'','\'(3.5-4.5]\'','\'(-inf-5.5]\'','\'(1.5-2.5]\'','\'(2.8-3.35]\'','\'(2.6-3.65]\'','\'(-inf-0.25]\'','\'(3.95-6]\'','\'(28.15-162.2]\'','\'(59.3-68.2]\'','\'(0.85-1.55]\'','\'(0.48-0.915]\'','\'(4.15-7.75]\'','\'(2.15-3.85]\'','\'(0.35-0.45]\'','\'(-inf-0.05]\'','\'(1.75-2.2]\'','\'(1.75-2.55]\'','\'(0.35-0.45]\'','\'(1.55-2.35]\'','\'(0.35-0.45]\'','\'(0.05-0.15]\'','\'(0.45-0.55]\'','\'(0.05-0.15]\'','\'(0.45-0.55]\'','\'(0.05-0.15]\'','\'(0.25-0.35]\'','\'(-inf-0.05]\'','\'(0.15-0.25]\'','\'(-inf-0.05]\'','\'(-inf-0.05]\'','\'(-inf-0.05]\'','\'(0.05-0.15]\'','\'(2.55-4.2]\'',C1
'\'(51.25-inf)\'','\'(0.035-0.045]\'','\'(0.0005-0.0015]\'','\'(0.065-0.085]\'','\'(0.015-0.025]\'','\'(21.36-inf)\'','\'(29.205-30.15]\'','\'(0.015-0.025]\'','\'(0.005-0.015]\'','\'(0.005-0.015]\'','\'(91-162]\'','\'(8-15]\'','\'(-inf-5.5]\'','\'(1.5-2.5]\'','\'(3.85-4.4]\'','\'(3.65-5.55]\'','\'(-inf-0.25]\'','\'(1.7-2.45]\'','\'(-inf-3.15]\'','\'(55.05-59.3]\'','\'(0.85-1.55]\'','\'(-inf-0.105]\'','\'(-inf-1.75]\'','\'(1.55-2.15]\'','\'(0.45-0.55]\'','\'(-inf-0.05]\'','\'(0.95-1.15]\'','\'(0.65-0.95]\'','\'(-inf-0.25]\'','\'(0.65-0.85]\'','\'(-inf-0.15]\'','\'(-inf-0.05]\'','\'(-inf-0.15]\'','\'(-inf-0.05]\'','\'(0.15-0.25]\'','\'(-inf-0.05]\'','\'(-inf-0.15]\'','\'(-inf-0.05]\'','\'(0.05-0.15]\'','\'(-inf-0.05]\'','\'(-inf-0.05]\'','\'(-inf-0.05]\'','\'(-inf-0.05]\'','\'(1.35-1.55]\'',C1
'\'(51.25-inf)\'','\'(0.095-0.165]\'','\'(0.0035-0.0055]\'','\'(0.255-0.335]\'','\'(0.025-0.035]\'','\'(21.36-inf)\'','\'(29.205-30.15]\'','\'(0.025-0.035]\'','\'(0.035-0.055]\'','\'(0.055-0.085]\'','\'(435-790.5]\'','\'(5.5-8]\'','\'(-inf-5.5]\'','\'(1.5-2.5]\'','\'(2.8-3.35]\'','\'(2-2.6]\'','\'(-inf-0.25]\'','\'(-inf-1.15]\'','\'(16.75-28.15]\'','\'(71.95-89.75]\'','\'(0.85-1.55]\'','\'(0.915-1.85]\'','\'(3.45-4.15]\'','\'(1.55-2.15]\'','\'(0.45-0.55]\'','\'(0.15-0.25]\'','\'(1.75-2.2]\'','\'(1.75-2.55]\'','\'(0.45-0.65]\'','\'(1.55-2.35]\'','\'(0.35-0.45]\'','\'(0.05-0.15]\'','\'(0.45-0.55]\'','\'(0.05-0.15]\'','\'(0.45-0.55]\'','\'(0.05-0.15]\'','\'(0.25-0.35]\'','\'(-inf-0.05]\'','\'(0.15-0.25]\'','\'(-inf-0.05]\'','\'(-inf-0.05]\'','\'(0.05-0.15]\'','\'(0.05-0.15]\'','\'(2.55-4.2]\'',C1
'\'(51.25-inf)\'','\'(0.065-0.095]\'','\'(0.0005-0.0015]\'','\'(0.065-0.085]\'','\'(0.005-0.015]\'','\'(20.77-21.36]\'','\'(30.15-inf)\'','\'(0.045-0.065]\'','\'(0.015-0.025]\'','\'(0.015-0.025]\'','\'(-inf-91]\'','\'(4.5-5.5]\'','\'(-inf-5.5]\'','\'(0.5-1.5]\'','\'(4.4-6.05]\'','\'(2-2.6]\'','\'(-inf-0.25]\'','\'(1.7-2.45]\'','\'(5.95-10.9]\'','\'(68.2-71.95]\'','\'(0.85-1.55]\'','\'(0.225-0.48]\'','\'(2.45-2.95]\'','\'(1.05-1.55]\'','\'(0.15-0.25]\'','\'(-inf-0.05]\'','\'(1.55-1.75]\'','\'(1.45-1.75]\'','\'(0.35-0.45]\'','\'(1.55-2.35]\'','\'(0.25-0.35]\'','\'(0.05-0.15]\'','\'(0.25-0.35]\'','\'(-inf-0.05]\'','\'(0.25-0.35]\'','\'(0.05-0.15]\'','\'(0.15-0.25]\'','\'(-inf-0.05]\'','\'(0.05-0.15]\'','\'(-inf-0.05]\'','\'(-inf-0.05]\'','\'(-inf-0.05]\'','\'(0.05-0.15]\'','\'(1.35-1.55]\'',C1
'\'(51.25-inf)\'','\'(0.045-0.065]\'','\'(-inf-0.0005]\'','\'(0.195-0.255]\'','\'(0.045-0.06]\'','\'(20.77-21.36]\'','\'(30.15-inf)\'','\'(0.025-0.035]\'','\'(0.025-0.035]\'','\'(0.045-0.055]\'','\'(435-790.5]\'','\'(5.5-8]\'','\'(-inf-5.5]\'','\'(1.5-2.5]\'','\'(2.8-3.35]\'','\'(-inf-2]\'','\'(-inf-0.25]\'','\'(2.45-2.95]\'','\'(4.6-5.95]\'','\'(55.05-59.3]\'','\'(0.85-1.55]\'','\'(0.48-0.915]\'','\'(3.45-4.15]\'','\'(0.45-0.65]\'','\'(0.45-0.55]\'','\'(-inf-0.05]\'','\'(1.35-1.55]\'','\'(1.45-1.75]\'','\'(0.35-0.45]\'','\'(1.25-1.55]\'','\'(0.25-0.35]\'','\'(0.05-0.15]\'','\'(0.35-0.45]\'','\'(-inf-0.05]\'','\'(0.35-0.45]\'','\'(0.05-0.15]\'','\'(0.25-0.35]\'','\'(-inf-0.05]\'','\'(0.05-0.15]\'','\'(-inf-0.05]\'','\'(-inf-0.05]\'','\'(0.05-0.15]\'','\'(-inf-0.05]\'','\'(1.55-1.75]\'',C1
