CaO+MgO,Fe2O3*,MgO,CaO,S,Zn,Pb,Cu,'Type de roche'
'\'(51.25-inf)\'','\'(-inf-0.065]\'','\'(21.36-inf)\'','\'(30.15-inf)\'','\'(-inf-91]\'','\'(-inf-2.5]\'','\'(-inf-5.5]\'','\'(-inf-0.5]\'',C1
'\'(51.25-inf)\'','\'(0.065-0.085]\'','\'(21.36-inf)\'','\'(30.15-inf)\'','\'(-inf-91]\'','\'(5.5-8]\'','\'(-inf-5.5]\'','\'(0.5-1.5]\'',C1
'\'(51.25-inf)\'','\'(0.255-0.335]\'','\'(21.36-inf)\'','\'(30.15-inf)\'','\'(208-298.5]\'','\'(5.5-8]\'','\'(7.5-12.5]\'','\'(1.5-2.5]\'',C1
'\'(51.25-inf)\'','\'(-inf-0.065]\'','\'(21.36-inf)\'','\'(30.15-inf)\'','\'(91-162]\'','\'(5.5-8]\'','\'(-inf-5.5]\'','\'(3.5-4.5]\'',C1
'\'(51.25-inf)\'','\'(0.145-0.195]\'','\'(9.07-17.21]\'','\'(30.15-inf)\'','\'(435-790.5]\'','\'(4.5-5.5]\'','\'(-inf-5.5]\'','\'(1.5-2.5]\'',C1
'\'(51.25-inf)\'','\'(0.085-0.145]\'','\'(21.36-inf)\'','\'(30.15-inf)\'','\'(298.5-435]\'','\'(3.5-4.5]\'','\'(-inf-5.5]\'','\'(1.5-2.5]\'',C1
'\'(51.25-inf)\'','\'(0.065-0.085]\'','\'(21.36-inf)\'','\'(29.205-30.15]\'','\'(91-162]\'','\'(8-15]\'','\'(-inf-5.5]\'','\'(1.5-2.5]\'',C1
'\'(51.25-inf)\'','\'(0.255-0.335]\'','\'(21.36-inf)\'','\'(29.205-30.15]\'','\'(435-790.5]\'','\'(5.5-8]\'','\'(-inf-5.5]\'','\'(1.5-2.5]\'',C1
'\'(51.25-inf)\'','\'(0.065-0.085]\'','\'(20.77-21.36]\'','\'(30.15-inf)\'','\'(-inf-91]\'','\'(4.5-5.5]\'','\'(-inf-5.5]\'','\'(0.5-1.5]\'',C1
'\'(51.25-inf)\'','\'(0.195-0.255]\'','\'(20.77-21.36]\'','\'(30.15-inf)\'','\'(435-790.5]\'','\'(5.5-8]\'','\'(-inf-5.5]\'','\'(1.5-2.5]\'',C1
'\'(51.25-inf)\'','\'(0.255-0.335]\'','\'(21.36-inf)\'','\'(29.205-30.15]\'','\'(298.5-435]\'','\'(2.5-3.5]\'','\'(-inf-5.5]\'','\'(1.5-2.5]\'',C1
'\'(49.84-51.25]\'','\'(0.145-0.195]\'','\'(21.36-inf)\'','\'(29.205-30.15]\'','\'(-inf-91]\'','\'(4.5-5.5]\'','\'(-inf-5.5]\'','\'(1.5-2.5]\'',C1
'\'(49.84-51.25]\'','\'(-inf-0.065]\'','\'(20.77-21.36]\'','\'(29.205-30.15]\'','\'(91-162]\'','\'(-inf-2.5]\'','\'(-inf-5.5]\'','\'(0.5-1.5]\'',C1
'\'(49.84-51.25]\'','\'(0.335-0.55]\'','\'(20.77-21.36]\'','\'(29.205-30.15]\'','\'(790.5-1247.5]\'','\'(3.5-4.5]\'','\'(-inf-5.5]\'','\'(4.5-5.5]\'',C1
'\'(49.84-51.25]\'','\'(0.065-0.085]\'','\'(20.77-21.36]\'','\'(29.205-30.15]\'','\'(91-162]\'','\'(3.5-4.5]\'','\'(-inf-5.5]\'','\'(1.5-2.5]\'',C1
'\'(49.84-51.25]\'','\'(-inf-0.065]\'','\'(20.77-21.36]\'','\'(29.205-30.15]\'','\'(298.5-435]\'','\'(117-inf)\'','\'(-inf-5.5]\'','\'(2.5-3.5]\'',C1
'\'(49.84-51.25]\'','\'(0.335-0.55]\'','\'(21.36-inf)\'','\'(29.205-30.15]\'','\'(162-208]\'','\'(5.5-8]\'','\'(-inf-5.5]\'','\'(13-244.5]\'',C1
'\'(49.84-51.25]\'','\'(0.085-0.145]\'','\'(20.77-21.36]\'','\'(29.205-30.15]\'','\'(91-162]\'','\'(2.5-3.5]\'','\'(-inf-5.5]\'','\'(0.5-1.5]\'',C1
'\'(49.84-51.25]\'','\'(-inf-0.065]\'','\'(20.77-21.36]\'','\'(28.475-29.205]\'','\'(-inf-91]\'','\'(3.5-4.5]\'','\'(-inf-5.5]\'','\'(0.5-1.5]\'',C1
'\'(49.84-51.25]\'','\'(0.195-0.255]\'','\'(20.77-21.36]\'','\'(28.475-29.205]\'','\'(298.5-435]\'','\'(4.5-5.5]\'','\'(-inf-5.5]\'','\'(1.5-2.5]\'',C1
'\'(49.84-51.25]\'','\'(0.145-0.195]\'','\'(20.77-21.36]\'','\'(28.475-29.205]\'','\'(208-298.5]\'','\'(2.5-3.5]\'','\'(6.5-7.5]\'','\'(0.5-1.5]\'',C1
